Week,Day,Platform,PostID,Format,Title
"Week 22","Thu","LinkedIn","LI-48","TEXT","The unsexy moat"
"Week 22","Fri","Instagram","IG-48","STORY","This-or-that"
"Week 23","Mon","LinkedIn","LI-23","CAROUSEL","""Will I get quality applicants?"" — the answer"
"Week 23","Tue","Instagram","IG-23","REEL","""Stop competing on salary alone"""
"Week 23","Thu","LinkedIn","LI-49","TEXT","Building in the open"
"Week 23","Fri","Instagram","IG-49","STORY","Slider"
"Week 24","Mon","LinkedIn","LI-24","CAROUSEL","The private healthcare boom in 5 numbers"
"Week 24","Tue","Instagram","IG-24","REEL","""The question that reveals a practice"""
"Week 24","Thu","LinkedIn","LI-50","TEXT","This or that"
"Week 24","Fri","Instagram","IG-50","STORY","Question box"
"Week 25","Mon","LinkedIn","LI-25","TEXT","The vet shortage no one fixed"
"Week 25","Tue","Instagram","IG-25","REEL","""We made one weird choice"""
"Week 25","Thu","LinkedIn","LI-51","CAROUSEL","How it works (for practices)"
"Week 25","Fri","Instagram","IG-51","STORY","Quiz"
"Week 26","Mon","LinkedIn","LI-26","CAROUSEL","Optometry's quiet crisis"
"Week 26","Tue","Instagram","IG-26","REEL","""Hiring red flags YOU might be sending"""
"Week 26","Thu","LinkedIn","LI-52","TEXT","A small ask"
"Week 26","Fri","Instagram","IG-52","STORY","Behind-the-scenes / build-in-public"
